Datum,Bundesland,Vorabmeldung,Elektronisch übermittelte Fälle,Todesfälle
13.03.2020,Bremen,42,42,
13.03.2020,Hamburg,99,99,
13.03.2020,Hessen,148,94,
13.03.2020,Mecklenburg-Vorpommern,33,21,
13.03.2020,Niedersachsen,230,134,
13.03.2020,Nordrhein-Westfalen,936,887,4
13.03.2020,Rheinland-Pfalz,102,102,
13.03.2020,Saarland,40,30,
13.03.2020,Sachsen,83,46,
13.03.2020,Sachsen-Anhalt,42,29,
13.03.2020,Schleswig-Holstein,48,45,
13.03.2020,Thüringen,29,16,
14.03.2020,Baden-Württemberg,569,506,3
14.03.2020,Bayern,681,605,
14.03.2020,Berlin,216,216,
14.03.2020,Brandenburg,61,57,
14.03.2020,Bremen,50,50,
14.03.2020,Hamburg,158,119,
14.03.2020,Hessen,203,141,
14.03.2020,Mecklenburg-Vorpommern,45,23,
14.03.2020,Niedersachsen,253,187,
14.03.2020,Nordrhein-Westfalen,1154,1154,5
14.03.2020,Rheinland-Pfalz,121,121,
14.03.2020,Saarland,40,31,
14.03.2020,Sachsen,93,86,
14.03.2020,Sachsen-Anhalt,45,40,
14.03.2020,Schleswig-Holstein,60,54,
14.03.2020,Thüringen,46,31,
15.03.2020,Baden-Württemberg,827,524,2
15.03.2020,Bayern,886,804,4
15.03.2020,Berlin,265,265,
15.03.2020,Brandenburg,84,56,
15.03.2020,Bremen,53,53,
15.03.2020,Hamburg,162,162,
15.03.2020,Hessen,286,207,
15.03.2020,Mecklenburg-Vorpommern,50,33,
15.03.2020,Niedersachsen,287,238,
15.03.2020,Nordrhein-Westfalen,1407,1407,6
15.03.2020,Rheinland-Pfalz,168,168,
15.03.2020,Saarland,32,32,
15.03.2020,Sachsen,130,91,
15.03.2020,Sachsen-Anhalt,47,40,
15.03.2020,Schleswig-Holstein,103,79,
15.03.2020,Thüringen,51,36,
16.03.2020,Baden-Württemberg,1105,1062,3
16.03.2020,Bayern,1067,965,4
16.03.2020,Berlin,300,300,
16.03.2020,Brandenburg,94,65,
16.03.2020,Bremen,56,56,
16.03.2020,Hamburg,260,255,
16.03.2020,Hessen,342,241,
16.03.2020,Mecklenburg-Vorpommern,51,36,
16.03.2020,Niedersachsen,391,272,
16.03.2020,Nordrhein-Westfalen,1541,1541,6
16.03.2020,Rheinland-Pfalz,325,325,
16.03.2020,Saarland,85,32,
16.03.2020,Sachsen,140,103,
16.03.2020,Sachsen-Anhalt,77,40,
16.03.2020,Schleswig-Holstein,123,104,
16.03.2020,Thüringen,55,36,
17.03.2020,Baden-Württemberg,,1479,3
17.03.2020,Bayern,,1109,5
17.03.2020,Berlin,,345,
17.03.2020,Brandenburg,,73,
17.03.2020,Bremen,,57,
17.03.2020,Hamburg,,310,
17.03.2020,Hessen,,373,
17.03.2020,Mecklenburg-Vorpommern,,45,
17.03.2020,Niedersachsen,,325,
17.03.2020,Nordrhein-Westfalen,,2105,8
17.03.2020,Rheinland-Pfalz,,442,
17.03.2020,Saarland,,75,
17.03.2020,Sachsen,,182,
17.03.2020,Sachsen-Anhalt,,58,
17.03.2020,Schleswig-Holstein,,127,
17.03.2020,Thüringen,,51,
